Company Name;Date;Ticker;Adj Close;Close value in reference period;Number of Records
Symantec;14.08.2013;SYMC;$22.50;;1
VASCO;14.08.2013;VDSI;$13.83;;1
Sourcefire;15.08.2013;FIRE;$7.94;;1
Symantec;15.08.2013;SYMC;$22.27;;1
VASCO;15.08.2013;VDSI;$14.00;;1
Sourcefire;18.08.2013;FIRE;$7.83;;1
Symantec;18.08.2013;SYMC;$21.64;;1
VASCO;18.08.2013;VDSI;$13.59;;1
Sourcefire;19.08.2013;FIRE;$7.60;;1
Symantec;19.08.2013;SYMC;$21.53;;1
VASCO;19.08.2013;VDSI;$13.25;;1
Sourcefire;20.08.2013;FIRE;$7.55;;1
Symantec;20.08.2013;SYMC;$21.70;;1
VASCO;20.08.2013;VDSI;$13.35;;1
Sourcefire;21.08.2013;FIRE;$7.71;;1
Symantec;21.08.2013;SYMC;$21.88;;1
VASCO;21.08.2013;VDSI;$13.36;;1
Sourcefire;22.08.2013;FIRE;$7.80;;1
Symantec;22.08.2013;SYMC;$22.06;;1
VASCO;22.08.2013;VDSI;$13.77;;1
Sourcefire;25.08.2013;FIRE;$7.73;;1
Symantec;25.08.2013;SYMC;$21.74;;1
VASCO;25.08.2013;VDSI;$13.14;;1
Sourcefire;26.08.2013;FIRE;$7.70;;1
Symantec;26.08.2013;SYMC;$21.64;;1
VASCO;26.08.2013;VDSI;$13.17;;1
Sourcefire;27.08.2013;FIRE;$7.78;;1
Symantec;27.08.2013;SYMC;$22.00;;1
VASCO;27.08.2013;VDSI;$13.36;;1
Sourcefire;28.08.2013;FIRE;$7.91;;1
Symantec;28.08.2013;SYMC;$22.65;;1
VASCO;28.08.2013;VDSI;$13.77;;1
Sourcefire;29.08.2013;FIRE;$7.85;;1
Symantec;29.08.2013;SYMC;$22.31;;1
VASCO;29.08.2013;VDSI;$13.82;;1
Sourcefire;02.09.2013;FIRE;$7.93;;1
Symantec;02.09.2013;SYMC;$22.25;;1
VASCO;02.09.2013;VDSI;$13.68;;1
Sourcefire;03.09.2013;FIRE;$7.78;;1
Symantec;03.09.2013;SYMC;$21.95;;1
VASCO;03.09.2013;VDSI;$13.69;;1
Sourcefire;04.09.2013;FIRE;$7.68;;1
Symantec;04.09.2013;SYMC;$21.57;;1
VASCO;04.09.2013;VDSI;$13.07;;1
Sourcefire;05.09.2013;FIRE;$7.93;;1
Symantec;05.09.2013;SYMC;$21.48;;1
VASCO;05.09.2013;VDSI;$12.88;;1
Sourcefire;08.09.2013;FIRE;$7.93;;1
Symantec;08.09.2013;SYMC;$21.71;;1
VASCO;08.09.2013;VDSI;$12.94;;1
Sourcefire;09.09.2013;FIRE;$7.75;;1
Symantec;09.09.2013;SYMC;$21.06;;1
VASCO;09.09.2013;VDSI;$12.62;;1
Sourcefire;10.09.2013;FIRE;$7.79;;1
Symantec;10.09.2013;SYMC;$20.50;;1
VASCO;10.09.2013;VDSI;$12.69;;1
Sourcefire;11.09.2013;FIRE;$7.80;;1
Symantec;11.09.2013;SYMC;$20.82;;1
VASCO;11.09.2013;VDSI;$12.96;;1
Sourcefire;12.09.2013;FIRE;$7.66;;1
Symantec;12.09.2013;SYMC;$20.57;;1
VASCO;12.09.2013;VDSI;$12.65;;1
Sourcefire;15.09.2013;FIRE;$7.42;;1
Symantec;15.09.2013;SYMC;$20.08;;1
